source,exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
config-xor-bad-1-results,1,0.9950846531949754,0.6504642271982524,0.2746,1,SAMPLES,450,1,[4],22,5,"{'select_neuron': [[2, 1]]}",
config-xor-bad-1-results,2,0.9950846531949754,0.9817039868924086,30.4846,1,SAMPLES,450,250,[4],22,5,"{'select_neuron': [[2, 1]]}",
config-xor-bad-1-results,3,0.9950846531949754,0.9817039868924086,3.0699,1,SAMPLES,450,400,[4],22,5,"{'select_neuron': [[2, 1]]}",
config-xor-bad-1-results,4,0.9950846531949754,0.6499180775532496,0.3767,1,SAMPLES,450,1,[4],22,5,"{'select_neuron': [[2, 2]]}",
config-xor-bad-1-results,5,0.9950846531949754,0.979792463134899,4.3493,1,SAMPLES,450,250,[4],22,5,"{'select_neuron': [[2, 2]]}",
config-xor-bad-1-results,6,0.9950846531949754,0.9756963407973784,4.9270,1,SAMPLES,450,400,[4],22,5,"{'select_neuron': [[2, 2]]}",
config-xor-bad-1-results,7,0.9950846531949754,0.375204806116876,0.2963,1,SAMPLES,450,1,[4],22,10,{'select_layer': [[2]]},
config-xor-bad-1-results,8,0.9950846531949754,0.979792463134899,43.5956,1,SAMPLES,450,250,[4],22,10,{'select_layer': [[2]]},
config-xor-bad-1-results,9,0.9950846531949754,0.979792463134899,23.6789,1,SAMPLES,450,400,[4],22,10,{'select_layer': [[2]]},
config-xor-bad-1-results,10,0.9950846531949754,0.6608410704533042,0.6119,1,GRID,100,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-1-results,11,,,timeout,1,GRID,100,2,[4],22,5,"{'select_neuron': [[2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-1-results,12,0.9950846531949754,0.6327143637356636,0.4906,1,GRID,100,1,[4],22,5,"{'select_neuron': [[2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-1-results,13,,,timeout,1,GRID,100,2,[4],22,5,"{'select_neuron': [[2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-1-results,14,0.9950846531949754,0.375204806116876,0.2936,1,GRID,100,1,[4],22,10,{'select_layer': [[2]]},"{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-1-results,15,,,timeout,1,GRID,100,2,[4],22,10,{'select_layer': [[2]]},"{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-1-results,16,0.9950846531949754,0.375204806116876,1.2616,1,VORONOI,268,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,17,,,timeout,1,VORONOI,268,2,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,18,0.9950846531949754,0.375204806116876,1.3593,1,VORONOI,268,1,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,19,,,timeout,1,VORONOI,268,2,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 450, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,20,0.9950846531949754,0.375204806116876,1.4843,1,VORONOI,268,1,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 450, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,21,,,timeout,1,VORONOI,268,2,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 450, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,22,0.9950846531949754,0.375204806116876,1.1264,1,GRID,400,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 2, 'samples_num': 3, 'limit_cells': 400}"
config-xor-bad-1-results,23,,,timeout,1,GRID,400,2,[4],22,5,"{'select_neuron': [[2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 2, 'samples_num': 3, 'limit_cells': 400}"
config-xor-bad-1-results,24,0.9950846531949754,0.375204806116876,2.9003,1,GRID,400,1,[4],22,5,"{'select_neuron': [[2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 2, 'samples_num': 3, 'limit_cells': 400}"
config-xor-bad-1-results,25,,,timeout,1,GRID,400,2,[4],22,5,"{'select_neuron': [[2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 2, 'samples_num': 3, 'limit_cells': 400}"
config-xor-bad-1-results,26,0.9950846531949754,0.375204806116876,4.2224,1,GRID,400,1,[4],22,10,{'select_layer': [[2]]},"{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 2, 'samples_num': 3, 'limit_cells': 400}"
config-xor-bad-1-results,27,,,timeout,1,GRID,400,2,[4],22,10,{'select_layer': [[2]]},"{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 2, 'samples_num': 3, 'limit_cells': 400}"
config-xor-bad-1-results,28,0.9950846531949754,0.6430912069907154,5.5790,1,VORONOI,250,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,29,,,timeout,1,VORONOI,250,2,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,30,0.9950846531949754,0.375204806116876,3.0391,1,VORONOI,250,1,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,31,,,timeout,1,VORONOI,250,2,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,32,0.9950846531949754,0.375204806116876,2.9732,1,VORONOI,250,1,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-1-results,33,,,timeout,1,VORONOI,250,2,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 400, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,1,0.9950846531949754,0.6859639541234298,0.1658,1,GRID,100,1,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-missing-results,2,,,timeout,1,GRID,100,2,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-missing-results,3,,,timeout,1,GRID,100,10,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-missing-results,4,0.9950846531949754,0.8596395412342982,0.5287,1,VORONOI,153,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,5,,,timeout,1,VORONOI,153,2,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,6,,,timeout,1,VORONOI,153,10,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,7,0.9950846531949754,0.6859639541234298,0.6633,1,VORONOI,153,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,8,,,timeout,1,VORONOI,153,2,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
config-xor-bad-2-missing-results,9,,,timeout,1,VORONOI,153,10,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 200, 'resample': True, 'random_state': 42}"
