exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,0.5146,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
2,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
3,unsat,unsat,0.2587,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
4,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
5,unsat,unsat,0.2742,1,VORONOI,82,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
6,,,timeout,1,VORONOI,82,2,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
7,unsat,unsat,0.3041,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
8,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
9,unsat,unsat,0.5831,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
10,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
11,unsat,unsat,0.4277,1,VORONOI,82,1,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
12,,,timeout,1,VORONOI,82,2,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
13,unsat,unsat,0.4026,1,VORONOI,82,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
14,,,timeout,1,VORONOI,82,2,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
15,unsat,unsat,0.4589,1,VORONOI,82,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
16,,,timeout,1,VORONOI,82,2,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
17,unsat,unsat,0.4099,1,VORONOI,82,1,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
18,,,timeout,1,VORONOI,82,2,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
19,0.9950846531949754,0.5461496450027308,0.7996,1,VORONOI,82,1,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
20,,,timeout,1,VORONOI,82,2,[4],22,5,"{'select_neuron': [[2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
21,0.9950846531949754,0.8025669033315128,1.4126,1,VORONOI,82,1,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
22,,,timeout,1,VORONOI,82,2,[4],22,5,"{'select_neuron': [[2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
23,0.9950846531949754,0.375204806116876,0.7745,1,VORONOI,82,1,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 100, 'resample': True, 'random_state': 42}"
24,,,timeout,1,VORONOI,82,2,[4],22,10,{'select_layer': [[2]]},"{'limit_points': 100, 'resample': True, 'random_state': 42}"
25,0.9950846531949754,0.3730202075368651,0.8155,1,VORONOI,82,1,[4],22,12,{'select_layer': [[1]]},"{'limit_points': 100, 'resample': True, 'random_state': 42}"
26,,,timeout,1,VORONOI,82,2,[4],22,12,{'select_layer': [[1]]},"{'limit_points': 100, 'resample': True, 'random_state': 42}"
27,0.9950846531949754,0.375204806116876,14.4605,1,VORONOI,82,1,[4],22,22,"{'select_layer': [[1], [2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
28,,,timeout,1,VORONOI,82,2,[4],22,22,"{'select_layer': [[1], [2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
