exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,0.2760,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
2,unsat,unsat,0.6026,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
3,unsat,unsat,0.6676,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
4,unsat,unsat,0.3264,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
5,unsat,unsat,0.4367,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
6,unsat,unsat,0.4347,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
7,unsat,unsat,1.8234,1,SAMPLES,450,1,[4],22,1,"{'select_bias': [[1, 1]]}",
8,unsat,unsat,0.3667,1,SAMPLES,450,250,[4],22,1,"{'select_bias': [[1, 1]]}",
9,unsat,unsat,0.4282,1,SAMPLES,450,400,[4],22,1,"{'select_bias': [[1, 1]]}",
10,unsat,unsat,0.2849,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
11,unsat,unsat,0.4413,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
12,unsat,unsat,0.4487,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
13,unsat,unsat,0.3207,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
14,unsat,unsat,0.6438,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
15,unsat,unsat,0.4311,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
16,unsat,unsat,1.5507,1,SAMPLES,450,1,[4],22,1,"{'select_bias': [[1, 2]]}",
17,unsat,unsat,0.4485,1,SAMPLES,450,250,[4],22,1,"{'select_bias': [[1, 2]]}",
18,unsat,unsat,0.3653,1,SAMPLES,450,400,[4],22,1,"{'select_bias': [[1, 2]]}",
19,0.9950846531949754,0.8099399235390496,0.2823,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
20,0.9950846531949754,0.807209175314036,0.7618,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
21,unsat,unsat,0.4926,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 3, 1]]}",
22,0.9950846531949754,0.9898962315674494,0.2637,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
23,0.9950846531949754,0.7730748225013654,0.5665,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
24,0.9950846531949754,0.85800109229929,0.8077,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 3, 2]]}",
25,0.9950846531949754,0.9705079191698526,2.4606,1,SAMPLES,450,1,[4],22,1,"{'select_bias': [[1, 3]]}",
26,0.9950846531949754,0.9803386127799016,0.7730,1,SAMPLES,450,250,[4],22,1,"{'select_bias': [[1, 3]]}",
27,0.9950846531949754,0.91398143091207,0.8416,1,SAMPLES,450,400,[4],22,1,"{'select_bias': [[1, 3]]}",
28,0.9950846531949754,0.4980884762424904,0.2874,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
29,unsat,unsat,0.6814,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
30,unsat,unsat,0.4587,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 4, 1]]}",
31,0.9950846531949754,0.4972692517749863,0.3015,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
32,0.9950846531949754,0.5827416712179138,0.5172,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
33,unsat,unsat,0.4425,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[1, 4, 2]]}",
34,0.9950846531949754,0.375204806116876,2.1637,1,SAMPLES,450,1,[4],22,1,"{'select_bias': [[1, 4]]}",
35,unsat,unsat,0.7998,1,SAMPLES,450,250,[4],22,1,"{'select_bias': [[1, 4]]}",
36,unsat,unsat,0.4474,1,SAMPLES,450,400,[4],22,1,"{'select_bias': [[1, 4]]}",
37,unsat,unsat,0.1625,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
38,unsat,unsat,0.2267,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
39,unsat,unsat,0.2072,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 1]]}",
40,unsat,unsat,0.1470,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
41,unsat,unsat,0.2094,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
42,unsat,unsat,0.2149,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 2]]}",
43,0.9950846531949754,0.6843255051884216,0.1641,1,SAMPLES,450,1,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
44,0.9950846531949754,0.9249044238121246,0.3185,1,SAMPLES,450,250,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
45,0.9950846531949754,0.9249044238121246,0.2600,1,SAMPLES,450,400,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
