exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,1.0,0.8770909090909091,176.8033,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_1/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 1, 1]]}",
2,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_2/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 1, 1]]}",
3,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_3/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 1]]}",
4,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_4/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 1]]}",
5,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_5/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 1, 1]]}",
6,1.0,0.6784545454545454,234.5848,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_6/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 1, 2]]}",
7,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_7/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 1, 2]]}",
8,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_8/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 2]]}",
9,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_9/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 1, 2]]}",
10,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_10/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 1, 2]]}",
11,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_11/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_bias': [[1, 1]]}",
12,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_12/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
13,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_13/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
14,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_14/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
15,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_15/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[1, 1]]}",
16,1.0,0.8720909090909091,256.1662,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_16/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 2, 1]]}",
17,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_17/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 2, 1]]}",
18,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_18/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 2, 1]]}",
19,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_19/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 2, 1]]}",
20,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_20/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 2, 1]]}",
21,unsat,unsat,226.2317,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_21/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 2, 2]]}",
22,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_22/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_weight': [[1, 2, 2]]}",
23,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_23/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 2, 2]]}",
24,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_24/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 2, 2]]}",
25,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_25/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 2, 2]]}",
26,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_26/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_bias': [[1, 2]]}",
27,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_27/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_bias': [[1, 2]]}",
28,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_28/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[1, 2]]}",
29,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_29/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[1, 2]]}",
30,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_30/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[1, 2]]}",
31,1.0,0.8753636363636363,97.2037,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_31/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 3, 1]]}",
32,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_32/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 3, 1]]}",
33,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_33/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 3, 1]]}",
34,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_34/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 3, 1]]}",
35,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_35/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 3, 1]]}",
36,1.0,0.7476363636363637,135.3950,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_36/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 3, 2]]}",
37,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_37/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 3, 2]]}",
38,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_38/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 3, 2]]}",
39,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_39/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 3, 2]]}",
40,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_40/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 3, 2]]}",
41,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_41/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_bias': [[1, 3]]}",
42,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_42/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_bias': [[1, 3]]}",
43,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_43/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_bias': [[1, 3]]}",
44,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_44/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_bias': [[1, 3]]}",
45,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_45/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_bias': [[1, 3]]}",
46,1.0,0.7894545454545454,100.2594,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_46/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 4, 1]]}",
47,unknown,unknown,timeout,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_47/config.json,1,SAMPLES,6000,500,"[10, 10]",162,1,"{'select_weight': [[1, 4, 1]]}",
48,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_48/config.json,1,SAMPLES,None,1000,"[10, 10]",None,None,"{'select_weight': [[1, 4, 1]]}",
49,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_49/config.json,1,SAMPLES,None,2000,"[10, 10]",None,None,"{'select_weight': [[1, 4, 1]]}",
50,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_50/config.json,1,SAMPLES,None,5500,"[10, 10]",None,None,"{'select_weight': [[1, 4, 1]]}",
51,unsat,unsat,192.0761,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_51/config.json,1,SAMPLES,6000,1,"[10, 10]",162,1,"{'select_weight': [[1, 4, 2]]}",
52,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-blobs-1/exp_52/config.json,1,SAMPLES,None,500,"[10, 10]",None,None,"{'select_weight': [[1, 4, 2]]}",
