exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,1.0386,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_1/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
2,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_2/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1]]}",
3,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_3/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1]]}",
4,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_4/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1]]}",
5,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_5/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1]]}",
6,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_6/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 1, 1]]}",
7,unsat,unsat,1.1234,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_7/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
8,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_8/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 2]]}",
9,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_9/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 2]]}",
10,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_10/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 2]]}",
11,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_11/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 2]]}",
12,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_12/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 1, 2]]}",
13,unsat,unsat,16.6590,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_13/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 1]]}",
14,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_14/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_bias': [[1, 1]]}",
15,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_15/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_bias': [[1, 1]]}",
16,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_16/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_bias': [[1, 1]]}",
17,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_17/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_bias': [[1, 1]]}",
18,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_18/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_bias': [[1, 1]]}",
19,unsat,unsat,1.0794,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_19/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
20,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_20/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 2, 1]]}",
21,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_21/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 2, 1]]}",
22,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_22/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 2, 1]]}",
23,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_23/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 2, 1]]}",
24,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_24/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 2, 1]]}",
25,unsat,unsat,1.1132,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_25/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 2, 2]]}",
26,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_26/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 2, 2]]}",
27,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_27/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 2, 2]]}",
28,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_28/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 2, 2]]}",
29,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_29/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 2, 2]]}",
30,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_30/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[1, 2, 2]]}",
31,unsat,unsat,20.6533,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_31/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 2]]}",
32,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_32/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_bias': [[1, 2]]}",
33,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_33/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_bias': [[1, 2]]}",
