exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,1.0358,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
2,unsat,unsat,3.2463,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
3,unsat,unsat,2.9773,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
4,unsat,unsat,5.4084,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
5,unsat,unsat,2.7832,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
6,unsat,unsat,2.037,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 1, 1]]}",
7,unsat,unsat,1.0973,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
8,unsat,unsat,5.2956,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
9,unsat,unsat,2.8782,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
10,unsat,unsat,4.7867,1,SAMPLES,1562,1000,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
11,unsat,unsat,4.3712,1,SAMPLES,1562,1500,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
12,unsat,unsat,1.6446,1,SAMPLES,1562,1561,[4],22,1,"{'select_weight': [[1, 1, 2]]}",
13,unsat,unsat,19.4476,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[1, 1]]}",
14,unsat,unsat,3.0224,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[1, 1]]}",
15,unsat,unsat,2.2912,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[1, 1]]}",
16,unsat,unsat,2.4062,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[1, 1]]}",
17,unsat,unsat,2.3841,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[1, 1]]}",
18,unsat,unsat,1.9478,1,SAMPLES,1562,1561,[4],22,1,"{'select_bias': [[1, 1]]}",
19,unsat,unsat,1.068,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
20,unsat,unsat,4.8548,1,SAMPLES,1562,325,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
21,unsat,unsat,3.3456,1,SAMPLES,1562,750,[4],22,1,"{'select_weight': [[1, 2, 1]]}",
