exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
1,unsat,unsat,1.5783,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_1/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
2,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_2/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
3,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_3/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
4,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_4/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
5,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_5/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1], [1, 1, 2]]}",
6,unsat,unsat,1.4119,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_6/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
7,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_7/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
8,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_8/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
9,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_9/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
10,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_10/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[1, 1, 1]], 'select_bias': [[1, 1]]}",
11,0.9950846532,0.824685964,1.5409,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-8-samples-first-prop-2-weight-combs/exp_11/config.json,1,SAMPLES,1562,1,[4],22,2,"{'select_weight': [[1, 1, 1], [1, 2, 1]]}",
